Provincia,Cuenca,Subcuenca,Codigo_cuenca,ID_local,Tipo_geoforma,Clas_prima,Origen_GE,Act_GE,Forma_GE,Estruct_I,Estruct_II,Longitud,Latitud,Area,Largo_total,H_max_total,H_media_total,H_min_total,Pendiente,Orientacion,H_max_parcial,H_media_parcial,H_min_parcial,Img_ba_F,Img_ba_S,Img_ap_S_Bing/Google Earth,Img_ap_S_Desconocido
4,3,19,9,2851,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7966,-29.1631,1,221.0,5138.0,5118.0,5100.0,21.121,0,5138.0,5118.0,5100.0,3,0,False,True
4,3,19,9,2999,2,9,1.0,2.0,1.0,1.0,2.0,-69.8808,-29.7559,1,190.0,4558.0,4532.0,4505.0,25.994,6,4558.0,4532.0,4505.0,3,0,True,False
4,3,19,9,2872,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.8054,-29.2964,1,246.0,5312.0,5275.0,5217.0,13.024,6,5312.0,5275.0,5217.0,3,0,False,True
4,3,19,9,2421,2,9,1.0,2.0,2.0,1.0,1.0,-69.5722,-29.4364,1,232.0,4228.0,4212.0,4200.0,13.536,4,4228.0,4212.0,4200.0,3,0,True,False
4,3,19,9,2829,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7887,-29.2278,0,503.0,5173.0,5084.0,4974.0,27.092,5,5173.0,5084.0,4974.0,3,0,False,True
4,3,19,9,2774,0,5,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7663,-29.0172,0,1318.0,4781.0,4587.0,4413.0,19.498,6,4718.0,4639.0,4575.0,3,0,True,False
4,3,19,9,3080,2,9,1.0,2.0,4.0,2.0,2.0,-69.9301,-29.228,1,74.0,4106.0,4101.0,4097.0,26.349,2,4106.0,4101.0,4097.0,3,0,True,False
4,3,19,9,2816,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7841,-29.0384,1,157.0,5561.0,5536.0,5509.0,15.475,0,5561.0,5536.0,5509.0,3,0,False,True
4,3,19,9,3072,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.9267,-30.0416,2,153.0,5037.0,5025.0,5012.0,21.57,6,5037.0,5025.0,5012.0,3,0,False,True
4,3,19,9,2850,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7963,-29.2294,0,552.0,5169.0,5020.0,4896.0,27.089,6,5169.0,5020.0,4896.0,3,0,False,True
4,3,19,9,3005,2,9,1.0,2.0,2.0,1.0,2.0,-69.8835,-29.7538,1,219.0,4631.0,4628.0,4625.0,37.696,6,4631.0,4628.0,4625.0,3,0,True,False
4,3,19,9,2773,3,7,-1.0,-1.0,-1.0,-1.0,-1.0,-69.7634,-28.9902,0,175.0,5316.0,5271.0,5224.0,22.626,6,5316.0,5271.0,5224.0,3,0,False,True
4,3,19,9,2341,2,9,1.0,2.0,1.0,1.0,1.0,-69.464,-29.5292,1,275.0,4991.0,4970.0,4943.0,19.042,2,4991.0,4970.0,4943.0,3,0,True,False
4,3,19,9,3028,2,9,1.0,2.0,1.0,2.0,2.0,-69.895,-30.0984,0,790.0,4967.0,4813.0,4711.0,14.195,2,4865.0,4793.0,4711.0,3,0,True,False
