Provincia,Cuenca,Subcuenca,Codigo_cue,ID_local,Tipo_geofo,Nombre_com,Clas_prima,Forma,Frente,Perf_long,Fuente_ali,Act_lengua,Morena_1,Morena_2,Cob_lengua,Origen_GE,Act_GE,Forma_GE,Estruct_I,Estruct_II,Longitud,Latitud,Area,Largo_tota,H_max_tota,H_media_to,H_min_tota,Pendiente,Orientacio,H_max_parc,H_media_pa,H_min_parc,Img_ba_F,Img_ba_S,Img_ap_F,Img_ap_S
Salta,R. Bermejo,R. Iruya,A0180000,G653119O225865S,GE,,9,,,,,,,,,1,2,2,1,2,-65.3119,-22.5866,0.0483,189.0,4597.0,4578.0,4554.0,24.746,S,4597.0,4578.0,4554.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652837O226126S,GE,,9,,,,,,,,,1,2,2,1,2,-65.2838,-22.6126,0.0216,134.0,4703.0,4695.0,4687.0,11.852,NO,4703.0,4695.0,4687.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G650839O221831S,GE,,9,,,,,,,,,1,1,2,1,2,-65.0839,-22.1831,0.0123,118.0,4577.0,4549.0,4520.0,27.039,E,4577.0,4549.0,4520.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651712O224517S,GE,,9,,,,,,,,,1,2,1,1,2,-65.1713,-22.4517,0.011,169.0,4724.0,4709.0,4693.0,30.146,S,4724.0,4709.0,4693.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651672O224743S,GE,,9,,,,,,,,,1,2,4,2,2,-65.1672,-22.4743,0.0113,65.0,4533.0,4488.0,4459.0,29.249,SE,4533.0,4488.0,4459.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G651622O224003S,GE,,9,,,,,,,,,1,2,4,2,2,-65.1623,-22.4003,0.0124,82.0,4628.0,4623.0,4617.0,23.831,O,4628.0,4623.0,4617.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651672O224353S,GE,,9,,,,,,,,,1,2,1,1,2,-65.1673,-22.4354,0.0132,150.0,4713.0,4692.0,4671.0,30.98,S,4713.0,4692.0,4671.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651616O224173S,GE,,9,,,,,,,,,1,2,2,1,2,-65.1617,-22.4174,0.0137,73.0,4681.0,4671.0,4661.0,29.087,S,4681.0,4671.0,4661.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G651660O224168S,GE,,9,,,,,,,,,1,2,4,2,2,-65.166,-22.4169,0.0248,106.0,4717.0,4715.0,4713.0,17.889,O,4717.0,4715.0,4713.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652308O222670S,GE,,9,,,,,,,,,1,1,2,1,2,-65.2308,-22.267,0.0137,128.0,4665.0,4643.0,4613.0,26.64,S,4665.0,4643.0,4613.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652335O222678S,GE,,9,,,,,,,,,1,1,4,2,2,-65.2336,-22.2679,0.0364,112.0,4686.0,4660.0,4627.0,23.859,SE,4686.0,4660.0,4627.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652251O222665S,GE,,9,,,,,,,,,1,1,4,2,2,-65.2252,-22.2665,0.0198,154.0,4557.0,4553.0,4548.0,27.441,S,4557.0,4553.0,4548.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652289O222673S,GE,,9,,,,,,,,,1,1,2,1,1,-65.2289,-22.2674,0.0121,144.0,4592.0,4589.0,4586.0,20.331,S,4592.0,4589.0,4586.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652341O222770S,GE,,9,,,,,,,,,1,1,0,2,2,-65.2341,-22.277,0.0547,296.0,4730.0,4684.0,4647.0,23.746,SE,4730.0,4684.0,4647.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652375O222783S,GE,,9,,,,,,,,,1,1,4,2,2,-65.2376,-22.2783,0.0352,93.0,4753.0,4740.0,4723.0,19.039,SE,4753.0,4740.0,4723.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652316O222777S,GE,,9,,,,,,,,,1,1,1,1,2,-65.2317,-22.2778,0.0122,142.0,4642.0,4638.0,4633.0,19.961,SE,4642.0,4638.0,4633.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G652292O222766S,GE,,9,,,,,,,,,1,1,0,2,2,-65.2293,-22.2767,0.0345,275.0,4662.0,4624.0,4584.0,20.62,SE,4662.0,4624.0,4584.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651909O229316S,GE,,9,,,,,,,,,1,1,4,2,2,-65.191,-22.9317,0.0231,89.0,4736.0,4734.0,4731.0,21.259,SE,4736.0,4734.0,4731.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651726O229586S,GE,,9,,,,,,,,,1,2,1,1,2,-65.1727,-22.9587,0.0167,171.0,4424.0,4417.0,4409.0,19.734,SE,4424.0,4417.0,4409.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652052O229330S,GE,,9,,,,,,,,,1,2,4,2,2,-65.2052,-22.9331,0.0217,141.0,4699.0,4677.0,4656.0,28.339,O,4699.0,4677.0,4656.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652881O227266S,GE,,9,,,,,,,,,1,2,2,1,2,-65.2882,-22.7266,0.0117,57.0,4501.0,4472.0,4454.0,16.931,SO,4501.0,4472.0,4454.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652152O224486S,GE,,9,,,,,,,,,1,2,2,1,1,-65.2152,-22.4487,0.0155,144.0,4805.0,4797.0,4789.0,27.131,E,4805.0,4797.0,4789.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652250O224556S,GE,,9,,,,,,,,,1,1,1,1,2,-65.225,-22.4556,0.0112,244.0,4666.0,4640.0,4614.0,31.028,S,4666.0,4640.0,4614.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G652273O224546S,GE,,9,,,,,,,,,1,1,4,2,2,-65.2273,-22.4546,0.0146,229.0,4754.0,4652.0,4580.0,31.439,S,4754.0,4652.0,4580.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Condado,A0180000,G651915O221944S,GE,,9,,,,,,,,,1,1,1,1,2,-65.1915,-22.1944,0.0657,408.0,4676.0,4627.0,4590.0,20.367,SO,4676.0,4627.0,4590.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651429O224201S,GE,,9,,,,,,,,,1,2,4,2,2,-65.143,-22.4201,0.1349,327.0,4485.0,4438.0,4389.0,19.34,SO,4485.0,4438.0,4389.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Blanco,A0180000,G650630O232017S,GE,,9,,,,,,,,,1,1,4,2,2,-65.063,-23.2018,0.0848,645.0,4682.0,4598.0,4540.0,22.363,S,4682.0,4598.0,4540.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Blanco,A0180000,G650599O232128S,GE,,9,,,,,,,,,1,2,2,1,2,-65.0599,-23.2128,0.014,102.0,4542.0,4518.0,4495.0,22.687,SE,4542.0,4518.0,4495.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Blanco,A0180000,G650635O232152S,GE,,9,,,,,,,,,1,2,4,2,2,-65.0636,-23.2152,0.0241,,4639.0,4611.0,4583.0,19.762,NE,4639.0,4611.0,4583.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Blanco,A0180000,G650419O231969S,GE,,9,,,,,,,,,1,1,4,2,2,-65.0419,-23.197,0.0796,146.0,4419.0,4358.0,4287.0,18.087,SO,4419.0,4358.0,4287.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651829O229773S,GE,,9,,,,,,,,,1,2,4,2,2,-65.183,-22.9773,0.0228,139.0,4714.0,4699.0,4692.0,20.989,SE,4714.0,4699.0,4692.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651829O229856S,GE,,9,,,,,,,,,1,2,4,2,2,-65.1829,-22.9856,0.0191,61.0,4758.0,4757.0,4755.0,21.35,NE,4758.0,4757.0,4755.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651898O229301S,GE,,9,,,,,,,,,1,1,5,2,2,-65.1898,-22.9302,0.0395,435.0,4823.0,4765.0,4718.0,16.974,SE,4823.0,4765.0,4718.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
Salta,R. Bermejo,R. Iruya,A0180000,G651951O229423S,GE,,9,,,,,,,,,1,2,2,2,2,-65.1951,-22.9423,0.0196,177.0,4739.0,4723.0,4712.0,18.568,SE,4739.0,4723.0,4712.0,2021-08-28,SENTINEL-2,,Bing/Google Earth
